1000000066A,I136,X999,I247,C106
1000000067B,D213,X999,E105,I251
1000000068C,I120,G102,I120,T204
1000000069A,A211,G102,D211,I117
1000000070B,C104,G212,D214,I122
1000000071C,I116,X999,I116,T203
1000000072A,I136,X999,I247,C106
1000000073B,I121,C103,I121,D214
1000000074C,D214,I326,C104,I116
1000000075A,C105,G101,D213,I118
1000000076B,C104,G107,D214,I122
1000000077C,I119,I123,I119,T003
1000000078A,I121,I250,I121,D214
1000000079B,D216,G212,C105,I136
1000000080C,D214,G107,C104,I116
1000000081A,C104,G102,D214,I122
1000000082B,C104,G105,D214,I122
1000000083C,I120,P111,I120,T204
1000000084A,D214,P111,C104,I116
1000000085B,C106,I326,D216,I120
1000000086C,A102,G105,C106,I114
1000000087A,C106,G107,D216,I120
1000000088B,L004,T001,E205,I112
1000000089C,E102,I140,L004,I119
1000000090A,L004,P106,E205,I112
1000000091B,I136,I141,I247,C106
1000000092C,L004,I326,E205,I112
1000000093A,D214,G107,C104,I116
1000000094B,I117,I140,I117,C104
1000000095C,I136,P111,I247,C106
1000000096A,D216,X999,C105,I136
1000000097B,I117,G105,I117,C104
1000000098C,D213,G107,E105,I251
1000000099A,D216,T001,C105,I136
1000000100B,I136,I313,I247,C106
1000000101C,I116,I326,I116,T203
1000000102A,I114,I250,I114,E105
1000000103B,I117,I313,I117,C104
1000000104C,I118,G102,I118,D216
1000000105A,I119,I326,I119,T003
1000000106B,I116,T001,I116,T203
1000000107C,E102,I331,L004,I119
1000000108A,C105,G212,D213,I118
1000000109B,I136,C103,I247,C106
1000000110C,D213,G107,E105,I251
1000000111A,I118,G105,I118,D216
1000000112B,I118,I134,I118,D216
1000000113C,I118,G212,I118,D216
1000000114A,A102,I250,C106,I114
1000000115B,I117,G212,I117,C104
1000000116C,E102,G105,L004,I119
1000000117A,I116,I331,I116,T203
1000000118B,I118,G102,I118,D216
1000000119C,C106,I313,D216,I120
1000000120A,D213,G212,E105,I251
1000000121B,I114,I331,I114,E105
1000000122C,D214,I141,C104,I116
1000000123A,I121,P106,I121,D214
1000000124B,I112,I326,I112,C105
1000000125C,I120,I331,I120,T204
1000000126A,A211,I123,D211,I117
1000000127B,E102,P104,L004,I119
1000000128C,I121,A101,I121,D214
1000000129A,E102,G105,L004,I119
1000000130B,A102,I331,C106,I114
1000000131C,A211,C103,D211,I117
1000000132A,D214,X999,C104,I116
1000000133B,I116,I123,I116,T203
1000000134C,I112,I140,I112,C105
1000000135A,I119,X999,I119,T003
1000000136B,I112,P104,I112,C105
1000000137C,I120,G105,I120,T204
1000000138A,I114,G107,I114,E105
1000000139B,C104,T001,D214,I122
1000000140C,I116,G101,I116,T203
1000000141A,I120,I250,I120,T204
1000000142B,E102,G101,L004,I119
1000000143C,A211,A211,D211,I117
1000000144A,I118,T001,I118,D216
1000000145B,I119,I250,I119,T003
1000000146C,A211,I313,D211,I117
1000000147A,A102,A211,C106,I114
1000000148B,I117,A201,I117,C104
1000000149C,D214,G102,C104,I116
1000000150A,I119,G101,I119,T003
1000000151B,I120,I250,I120,T204
1000000152C,C105,P111,D213,I118
1000000153A,I114,I250,I114,E105
1000000154B,I114,I326,I114,E105
1000000155C,D216,P106,C105,I136
1000000156A,E102,G102,L004,I119
1000000157B,C106,I134,D216,I120
1000000158C,L004,T001,E205,I112
1000000159A,E102,P111,L004,I119
1000000160B,I136,I326,I247,C106
1000000161C,C106,G107,D216,I120
1000000162A,I121,I313,I121,D214
1000000163B,I120,G102,I120,T204
1000000164C,I120,G105,I120,T204
1000000165A,I119,G107,I119,T003
1000000166B,I112,I141,I112,C105
1000000167C,E102,P106,L004,I119
1000000168A,D216,I140,C105,I136
1000000169B,C106,I326,D216,I120
1000000170C,I112,I326,I112,C105
1000000171A,A102,G107,C106,I114
1000000172B,C104,G102,D214,I122
1000000173C,I114,A101,I114,E105
1000000174A,C106,I326,D216,I120
1000000175B,I114,P104,I114,E105
1000000176C,D216,P111,C105,I136
1000000177A,I121,G102,I121,D214
1000000178B,I112,X999,I112,C105
1000000179C,I136,G107,I247,C106
1000000180A,A102,I141,C106,I114
1000000181B,I112,I313,I112,C105
1000000182C,E102,I250,L004,I119
1000000183A,C105,I326,D213,I118
1000000184B,I119,P111,I119,D212
1000000185C,A102,X999,C106,I114
1000000186A,E102,P106,L004,I119
1000000187B,A102,P106,C106,I114
1000000188C,I112,I250,I112,C105
1000000189A,C105,C103,D213,I118
1000000190B,D214,I123,C104,I116
1000000191C,I119,I123,I119,T003
1000000192A,E102,T001,L004,I119
1000000193B,I118,I123,I118,D216
1000000194C,I118,T001,I118,D216
1000000195A,D216,C103,C105,I136
1000000196B,A102,G107,C106,I114
1000000197C,I120,G212,I120,T204
1000000198A,I136,X999,I247,C106
1000000199B,I117,X999,I117,C104
1000000200C,I114,I134,I114,E105
1000000201A,I114,P111,I114,E105
1000000202B,I117,P111,I117,C104
1000000203C,I119,I250,I119,T003
1000000204A,I114,A211,I114,E105
1000000205B,I112,C103,I112,C105
1000000206C,A211,I331,D211,I117
1000000207A,I117,G101,I117,C104
1000000208B,C105,I313,D213,I118
1000000209C,I116,C103,I116,T203
1000000210A,L004,A201,E205,I112
1000000211B,E102,I123,L004,I119
1000000212C,C105,A101,D213,I118
1000000213A,I121,I141,I121,D214
1000000214B,I117,G101,I117,C104
1000000215C,I118,I250,I118,D216
1000000216A,C104,G101,D214,I122
1000000217B,E102,I123,L004,I119
1000000218C,D216,I326,C105,I136
1000000219A,C104,P111,D214,I122
1000000220B,I114,G105,I114,E105
1000000221C,I112,P106,I112,C105
1000000222A,A102,P104,C106,I114
1000000223B,A102,T001,C106,I114
1000000224C,D213,G105,E105,I251
1000000225A,C104,P106,D214,I122
1000000226B,C104,X999,D214,I122
1000000227C,A211,A201,D211,I117
1000000228A,I116,X999,I116,T203
1000000229B,I117,I123,I117,C104
1000000230C,A211,G105,D211,I117
1000000231A,C105,P104,D213,I118
1000000232B,I116,I134,I116,T203
1000000233C,E102,G105,L004,I119
1000000234A,I136,X999,I247,C106
1000000235B,I114,G105,I114,E105
1000000236C,C106,I123,D216,I120
1000000237A,C105,G212,D213,I118
1000000238B,I119,P106,I119,T003
1000000239C,I114,G101,I114,E105
1000000240A,C105,P111,D213,I118
1000000241B,A211,I123,D211,I117
1000000242C,I118,X999,I118,D216
1000000243A,C106,P106,D216,I120
1000000244B,I120,X999,I120,T204
1000000245C,I119,G212,I119,T003
1000000246A,I114,I134,I114,E105
1000000247B,I119,G107,I119,T003
1000000248C,D213,I134,E105,I251
1000000249A,D216,I123,C105,I136
1000000250B,D214,A211,C104,I116
1000000251C,I120,I123,I120,T204
1000000252A,C104,I141,D214,I122
1000000253B,E102,I326,L004,I119
1000000254C,D213,G102,E105,I251
1000000255A,I118,C103,I118,D216
1000000256B,I120,C103,I120,T204
1000000257C,I117,G107,I117,C104
1000000258A,I112,G105,I112,C105
1000000259B,I116,I140,I116,T203
1000000260C,E102,I331,L004,I119
1000000261A,E102,I331,L004,I119
1000000262B,I117,I140,I117,C104
1000000263C,C106,P111,D216,I120
1000000264A,D213,I123,E105,I251
1000000265B,L004,I134,E205,I112
1000000266C,C104,I313,D214,I122
1000000267A,I136,I326,I247,C106
1000000268B,I116,I134,I116,T203
1000000269C,A102,A101,C106,I114
1000000270A,D213,C103,E105,I251
1000000271B,E102,G212,L004,I119
1000000272C,D216,I141,C105,I136
1000000273A,L004,G105,E205,I112
1000000274B,D214,X999,C104,I116
1000000275C,I119,I331,I119,T003
1000000276A,I118,G101,I118,D216
1000000277B,I120,I134,I120,T204
1000000278C,I120,X999,I120,T204
1000000279A,A102,G105,C106,I114
1000000280B,D213,P104,E105,I251
1000000281C,I136,G107,I247,C106
1000000282A,A102,X999,C106,I114
1000000283B,D213,C103,E105,I251
1000000284C,I114,T001,I114,E105
1000000285A,C105,I134,D213,I118
1000000286B,C104,I141,D214,I122
1000000287C,I116,I313,I116,T203
1000000288A,I114,I141,I114,E105
1000000289B,D213,X999,E105,I251
1000000290C,I121,I331,I121,D214
1000000291A,I116,I140,I116,T203
1000000292B,C106,I140,D216,I120
1000000293C,I117,P104,I117,C104
1000000294A,D216,G107,C105,I136
1000000295B,I117,X999,I117,C104
1000000296C,D214,G107,C104,I116
1000000297A,A102,X999,C106,I114
1000000298B,I117,P104,I117,C104
1000000299C,I121,A201,I121,D214
1000000300A,D213,T001,E105,I251
1000000301B,C104,A201,D214,I122
1000000302C,I121,I313,I121,D214
1000000303A,L004,I313,E205,I112
1000000304B,E102,C103,L004,I119
1000000305C,D216,P104,C105,I136
1000000306A,I136,G102,I247,C106
1000000307B,I114,T001,I114,E105
1000000308C,C105,I313,D213,I118
1000000309A,L004,A211,E205,I112
1000000310B,C106,G105,D216,I120
1000000311C,C106,I141,D216,I120
1000000312A,C105,P111,D213,I118
1000000313B,I119,P111,I119,T003
1000000314C,D216,G101,C105,I136
1000000315A,I116,G212,I116,T203
1000000316B,I120,X999,I120,T204
1000000317C,C104,T001,D214,I122
1000000318A,I117,G107,I117,C104
1000000319B,A102,I313,C106,I114
1000000320C,E102,G105,L004,I119
1000000321A,D214,G107,C104,I116
1000000322B,I116,G102,I116,T203
1000000323C,I114,G105,I114,E105
1000000324A,I117,I250,I117,C104
1000000325B,I118,C103,I118,D216
1000000326C,C106,P104,D216,I120
1000000327A,I120,T001,I120,T204
1000000328B,A211,I326,D211,I117
1000000329C,A102,G212,C106,I114
1000000330A,I114,I140,I114,E105
1000000331B,D214,X999,C104,I116
1000000332C,C105,I141,D213,I118
1000000333A,L004,G212,E205,I112
1000000334B,C104,G101,D214,I122
1000000335C,A211,I331,D211,I117
1000000336A,D216,I141,C105,I136
1000000337B,I117,I326,I117,C104
1000000338C,C104,G107,D214,I122
1000000339A,D213,A201,E105,I251
1000000340B,I112,I326,I112,C105
1000000341C,A211,I140,D211,I117
1000000342A,I118,P111,I118,D216
1000000343B,I120,I134,I120,T204
1000000344C,I118,G101,I118,D216
1000000345A,I118,P111,I118,D216
1000000346B,D214,C103,C104,I116
1000000347C,I112,I141,I112,C105
1000000348A,D213,I123,E105,I251
1000000349B,A102,A101,C106,I114
1000000350C,D216,I326,C105,I136
1000000351A,L004,P104,E205,I112
1000000352B,D216,I123,C105,I136
1000000353C,D213,I134,E105,I251
1000000354A,C104,I141,D214,I122
1000000355B,I116,G107,I116,T203
1000000356C,D214,G105,C104,I116
1000000357A,I121,G102,I121,D214
1000000358B,I121,T001,I121,D214
1000000359C,I114,I140,I114,E105
1000000360A,A102,I140,C106,I114
1000000361B,I116,I313,I116,T203
1000000362C,I136,I331,I247,C106
1000000363A,C105,X999,D213,I118
1000000364B,A211,I123,D211,I117
1000000365C,C105,G102,D213,I118
1000000366A,A211,I123,D211,I117
1000000367B,I117,I141,I117,C104
1000000368C,C104,A101,D214,I122
1000000369A,I136,I326,I247,C106
1000000370B,I136,G101,I247,C106
1000000371C,D213,G107,E105,I251
1000000372A,A211,I123,D211,I117
1000000373B,D213,X999,E105,I251
1000000374C,D213,X999,E105,I251
1000000375A,I116,I313,I116,T203
1000000376B,I117,G212,I117,C104
1000000377C,I121,I326,I121,D214
1000000378A,D213,T001,E105,I251
1000000379B,I116,I140,I116,T203
1000000380C,I112,X999,I112,C105
1000000381A,C106,G107,D216,I120
1000000382B,E102,P106,L004,I119
1000000383C,D214,G101,C104,I116
1000000384A,I112,G102,I112,C105
1000000385B,C105,I250,D213,I118
1000000386C,I112,A101,I112,C105
1000000387A,E102,G107,L004,I119
1000000388B,I116,P104,I116,T203
1000000389C,I116,I326,I116,T203
1000000390A,I136,A101,I247,C106
1000000391B,I114,X999,I114,E105
1000000392C,A102,P106,C106,I114
1000000393A,I136,G105,I247,C106
1000000394B,I112,I250,I112,C105
1000000395C,L004,A201,E205,I112
1000000396A,I117,I313,I117,C104
1000000397B,I119,I331,I119,T003
1000000398C,A211,I123,D211,I117
1000000399A,L004,G212,E205,I112
1000000400B,L004,I313,E205,I112
1000000401C,I120,C103,I120,T204
1000000402A,I121,I140,I121,D214
1000000403B,I116,I134,I116,T203
1000000404C,I119,X999,I119,T003
1000000405A,E102,I141,L004,I119
1000000406B,I118,C103,I118,D216
1000000407C,C104,P104,D214,I122
1000000408A,I116,I123,I116,T203
1000000409B,C104,I326,D214,I122
1000000410C,A211,P104,D211,I117
1000000411A,C104,X999,D214,I122
1000000412B,A211,I326,D211,I117
1000000413C,I116,P111,I116,T203
1000000414A,C105,X999,D213,I118
1000000415B,C104,I326,D214,I122
1000000416C,C104,A201,D214,I122
1000000417A,I118,I313,I118,D216
1000000418B,D216,I313,C105,I136
1000000419C,A211,G105,D211,I117
1000000420A,I119,X999,I119,T003
1000000421B,I118,P104,I118,D216
1000000422C,I136,I313,I247,C106
1000000423A,C105,X999,D213,I118
1000000424B,I119,I250,I119,T003
1000000425C,I121,P106,I121,D214
1000000426A,I119,I141,I119,T003
1000000427B,I112,P106,I112,C105
1000000428C,I112,X999,I112,C105
1000000429A,L004,G101,E205,I112
1000000430B,A211,X999,D211,I117
1000000431C,D213,G105,E105,I251
1000000432A,I118,I331,I118,D216
1000000433B,I119,I250,I119,T003
1000000434C,I112,P106,I112,C105
1000000435A,I120,I134,I120,T204
1000000436B,I117,I250,I117,C104
1000000437C,I136,P104,I247,C106
1000000438A,D216,I140,C105,I136
1000000439B,C106,I331,D216,I120
1000000440C,I119,X999,I119,T003
1000000441A,L004,A201,E205,I112
1000000442B,I118,I250,I118,D216
1000000443C,A211,I331,D211,I117
1000000444A,I136,I141,I247,C106
1000000445B,D214,P104,C104,I116
1000000446C,C105,I331,D213,I118
1000000447A,I121,I326,I121,D214
1000000448B,C106,X999,D216,I120
1000000449C,A102,I140,C106,I114
1000000450A,L004,I331,E205,I112
1000000451B,A102,T001,C106,I114
1000000452C,A211,T001,D211,I117
1000000453A,I119,X999,I119,T003
1000000454B,I121,I250,I121,D214
1000000455C,I119,I140,I119,T003
1000000456A,L004,I326,E205,I112
1000000457B,A211,P106,D211,I117
1000000458C,D216,I141,C105,I136
1000000459A,I116,P106,I116,T203
1000000460B,I117,T001,I117,C104
1000000461C,D214,I313,C104,I116
1000000462A,D216,G212,C105,I136
1000000463B,D216,I140,C105,I136
1000000464C,I119,X999,I119,T003
1000000465A,E102,G101,L004,I119
1000000466B,D216,P104,C105,I136
1000000467C,I118,P111,I118,D216
1000000468A,C106,I134,D216,I120
1000000469B,I136,G212,I247,C106
1000000470C,A211,I250,D211,I117
1000000471A,D213,G102,E105,I251
1000000472B,C105,X999,D213,I118
1000000473C,I118,I250,I118,D216
1000000474A,A102,G105,C106,I114
1000000475B,I121,G101,I121,D214
1000000476C,I120,X999,I120,T204
1000000477A,C106,I123,D216,I120
1000000478B,C106,X999,D216,I120
1000000479C,C105,I250,D213,I118
1000000480A,L004,I331,E205,I112
1000000481B,A102,I134,C106,I114
1000000482C,I121,I123,I121,D214
1000000483A,I118,X999,I118,D216
1000000484B,C106,P111,D216,I120
1000000485C,I121,I313,I121,D214
1000000486A,E102,G101,L004,I119
1000000487B,D214,I140,C104,I116
1000000488C,I116,T001,I116,T203
1000000489A,C106,A101,D216,I120
1000000490B,C104,P104,D214,I122
1000000491C,I117,I141,I117,C104
1000000492A,I120,I313,I120,T204
1000000493B,I112,I141,I112,C105
1000000494C,C104,P106,D214,I122
1000000495A,I112,P111,I112,C105
1000000496B,I121,G102,I121,D214
1000000497C,C106,G101,D216,I120
1000000498A,C105,I123,D213,I118
1000000499B,I112,G101,I112,C105
1000000500C,I114,X999,I114,E105
1000000501A,I118,G101,I118,D216
1000000502B,D213,X999,E105,I251
1000000503C,G102,I116,C209,D213
1000000504A,I134,L004,I329,I246
1000000505B,I320,D216,I140,I245
1000000506C,I140,I120,F201,E103
1000000507A,I141,I244,I332,E207
1000000508B,I130,I119,P111,E102
1000000509C,I123,A104,I329,I139
1000000510A,I313,A104,G106,I139
1000000511B,G107,D211,C103,I238
1000000512C,I141,C105,I332,I248
1000000513A,I313,I117,C209,E101
1000000514B,T001,C104,I331,I214
1000000515C,G104,D216,X999,I245
1000000516A,P106,I119,I124,E102
1000000517B,X999,I122,I332,D211
1000000518C,I313,I115,X999,D212
1000000519A,I313,I116,C103,D213
1000000520B,I140,C106,P111,I240
1000000521C,I130,C105,G105,I248
1000000522A,I134,C105,G213,I248
1000000523B,G213,T204,I331,I137
1000000524C,I322,D211,P106,I238
1000000525A,I134,I120,G214,E103
1000000526B,G106,A104,I143,I139
1000000527C,C103,C106,I141,I240
1000000528A,I322,C105,X999,I248
1000000529B,I130,D211,A210,I238
1000000530C,I313,C105,I134,I248
1000000531A,C103,I120,P104,E103
1000000532B,I140,I244,I331,E207
1000000533C,I141,C104,I332,I214
1000000534A,G107,I119,F201,E102
1000000535B,I313,I136,G102,T202
1000000536C,P201,I112,I143,L101
1000000537A,I313,C105,G106,I248
1000000538B,G214,I112,F201,L101
1000000539C,G106,D216,X999,I245
1000000540A,G104,D211,I332,I238
1000000541B,G107,I244,I331,E207
1000000542C,I140,C105,I331,I248
1000000543A,T001,A104,G105,I139
1000000544B,C103,I112,G105,L101
1000000545C,G107,T204,I140,I137
1000000546A,C103,A104,I329,I139
1000000547B,G104,I122,I143,D211
1000000548C,I141,E203,X999,I216
1000000549A,X999,C106,I331,I240
1000000550B,G106,C104,C103,I214
1000000551C,G102,C106,X999,I240
1000000552A,G213,I112,P104,L101
1000000553B,I140,D216,G213,I245
1000000554C,G102,I116,F201,D213
1000000555A,X999,I112,G102,L101
1000000556B,I320,C106,I123,I240
1000000557C,T001,C104,G102,I214
1000000558A,I320,D216,I140,I245
1000000559B,G104,I115,A210,D212
1000000560C,I313,T003,G102,I121
1000000561A,I322,T204,X999,I137
1000000562B,P106,I116,I124,D213
1000000563C,I130,C104,P111,I214
1000000564A,A101,T204,G214,I137
1000000565B,I141,T003,P104,I121
1000000566C,I313,T003,I123,I121
1000000567A,G102,C104,I124,I214
1000000568B,I123,C104,G102,I214
1000000569C,X999,I112,G106,L101
1000000570A,X999,L004,I140,I246
1000000571B,I320,I251,G211,E104
1000000572C,I134,I119,I329,E102
1000000573A,I313,T203,I141,I212
1000000574B,I140,A104,I332,I139
1000000575C,P111,D211,G214,I238
1000000576A,X999,I244,P106,E207
1000000577B,I141,I251,C209,E104
1000000578C,G214,T203,X999,I212
1000000579A,I140,L004,I331,I246
1000000580B,I320,T003,I123,I121
1000000581C,I134,T204,G102,I137
1000000582A,G102,D211,P106,I238
1000000583B,G102,I119,I134,E102
1000000584C,I320,I116,C103,D213
1000000585A,A201,I120,A101,E103
1000000586B,I141,D216,G211,I245
1000000587C,T001,I119,G105,E102
1000000588A,G107,I120,I143,E103
1000000589B,P111,I122,I141,D211
1000000590C,G214,C104,F201,I246
1000000591A,G213,I115,I141,D212
1000000592B,I130,C106,G102,I240
1000000593C,A201,I115,X999,D212
1000000594A,X999,T203,A210,I212
1000000595B,X999,T204,I124,I137
1000000596C,G102,I112,I143,L101
1000000597A,C103,I136,P111,T202
1000000598B,I123,T003,G213,I121
1000000599C,P106,T203,X999,I212
1000000600A,X999,I115,G106,D212
1000000601B,P201,I120,P106,E103
1000000602C,I140,I136,G213,T202
1000000603A,G106,T204,C209,I137
1000000604B,I140,T204,G105,I137
1000000605C,I123,C106,X999,I240
1000000606A,I320,T003,X999,I121
1000000607B,G214,I122,X999,D211
1000000608C,G214,L004,I143,I246
1000000609A,G107,L004,I140,I246
1000000610B,I141,I112,P106,L101
1000000611C,T001,E203,G106,I216
1000000612A,P201,I122,I140,D211
1000000613B,P201,L004,G213,I246
1000000614C,G213,L004,I123,I246
1000000615A,T001,T203,G106,I212
1000000616B,G104,L004,I143,I246
1000000617C,G214,D216,F201,I245
1000000618A,G102,L004,I141,I246
1000000619B,P106,I117,G211,E101
1000000620C,P106,I115,G106,D212
1000000621A,G213,I112,C209,L101
1000000622B,G214,C106,I141,I240
1000000623C,C103,I244,I329,E207
1000000624A,X999,C104,I123,I214
1000000625B,X999,D216,I134,I245
1000000626C,T001,I122,I143,D211
1000000627A,I320,I244,I124,E207
1000000628B,G107,T003,I124,I121
1000000629C,I320,E203,F201,I216
1000000630A,I322,C105,I141,I248
1000000631B,C103,A104,G211,I139
1000000632C,G102,E203,P111,I216
1000000633A,I130,C104,I329,I214
1000000634B,I320,I120,G102,E103
1000000635C,P201,L004,I143,I246
1000000636A,G214,C106,I141,I240
1000000637B,I130,E203,C209,I216
1000000638C,G213,L004,X999,I246
1000000639A,C103,E203,I134,I216
1000000640B,I322,I116,G102,D213
1000000641C,G214,C104,X999,I214
1000000642A,X999,D211,I143,I238
1000000643B,I322,I136,I140,T202
1000000644C,I141,C106,I329,I240
1000000645A,C103,D216,P111,I245
1000000646B,G104,C104,I332,I246
1000000647C,I313,D211,G211,I238
1000000648A,I313,C105,I140,I248
1000000649B,G106,I120,P111,E103
1000000650C,I320,I117,G102,E101
1000000651A,X999,E203,I332,I216
1000000652B,G106,I120,I331,E103
1000000653C,G104,C104,P104,I214
1000000654A,C103,L004,G213,I246
1000000655B,I141,I112,I331,L101
1000000656C,X999,I115,G211,D212
1000000657A,C103,D211,P106,I238
1000000658B,G213,I244,I331,E207
1000000659C,I313,T203,A210,I212
1000000660A,I140,I112,P106,L101
1000000661B,I141,T003,P104,I121
1000000662C,G213,C106,I123,I240
1000000663A,P106,I117,G214,E101
1000000664B,T001,T204,I143,I137
1000000665C,I322,I115,G214,D212
1000000666A,I322,I244,F201,E207
1000000667B,P106,I119,G211,E102
1000000668C,I322,I122,G106,D211
1000000669A,P106,I115,I134,D212
1000000670B,X999,I117,G211,E101
1000000671C,P106,D216,G211,I245
1000000672A,I134,I115,G106,D212
1000000673B,I140,C106,C209,I240
1000000674C,P106,I136,I141,T202
1000000675A,I123,I116,G211,D213
1000000676B,I130,D216,I331,I245
1000000677C,G102,I122,P106,D211
1000000678A,I123,C105,G105,I248
1000000679B,I130,I136,C103,T202
1000000680C,I313,D216,G214,I245
1000000681A,P111,T203,I124,I212
1000000682B,C103,I122,I140,D211
1000000683C,X999,I117,G106,E101
1000000684A,I130,E203,G213,I216
1000000685B,G107,I120,C103,E103
1000000686C,I320,T204,G102,I137
1000000687A,T001,I115,P106,D212
1000000688B,G104,I244,I329,E207
1000000689C,G104,T203,X999,I212
1000000690A,G213,T003,I143,I121
1000000691B,I320,I117,I124,E101
1000000692C,G104,T203,I124,I212
1000000693A,G106,C105,I329,I248
1000000694B,I140,E203,G105,I216
1000000695C,I140,I251,I332,E104
1000000696A,G107,D211,C103,I238
1000000697B,G106,T204,I331,I137
1000000698C,G107,I112,P106,L101
1000000699A,I322,I117,G106,E101
1000000700B,X999,C106,I332,I240
1000000701C,G107,D216,I332,I245
1000000702A,G107,I117,I124,E101
1000000703B,G106,T204,I124,I137
1000000704C,P111,I136,G105,T202
1000000705A,C103,I244,I331,E207
1000000706B,P111,I122,I140,D211
1000000707C,G214,A104,C103,I139
1000000708A,G102,L004,C103,I246
1000000709B,P106,T003,X999,I121
1000000710C,C103,I112,G106,L101
1000000711A,I130,I122,I332,D211
1000000712B,X999,T003,I141,I121
1000000713C,I123,E203,G213,I216
1000000714A,G102,I112,I141,L101
1000000715B,I322,I119,C103,E102
1000000716C,I313,I136,G106,T202
1000000717A,I130,T204,I329,I137
1000000718B,I320,I136,F201,T202
1000000719C,I123,T203,C103,I212
1000000720A,P111,I116,X999,D213
1000000721B,X999,D211,I332,I238
1000000722C,I141,I116,P106,D213
1000000723A,C103,T204,G214,I137
1000000724B,X999,I119,I123,E102
1000000725C,I322,D211,G105,I238
1000000726A,I141,I244,X999,E207
1000000727B,G106,I122,C209,D211
1000000728C,P111,I117,I134,E101
1000000729A,T001,I117,P111,E101
1000000730B,I130,I119,P111,E102
1000000731C,P106,I120,G213,E103
1000000732A,X999,I122,I331,D211
1000000733B,I322,E203,I123,I216
1000000734C,I313,I116,I141,D213
1000000735A,T001,I244,I140,E207
1000000736B,I313,I116,A101,D213
1000000737C,I320,T003,I143,I121
1000000738A,G106,I244,C103,E207
1000000739B,P111,T203,G211,I212
1000000740C,C103,C105,I134,I248
1000000741A,X999,C106,P111,I240
1000000742B,G102,I119,X999,E102
1000000743C,P201,D216,I140,I245
1000000744A,X999,I115,I140,D212
1000000745B,G104,D211,I329,I238
1000000746C,X999,D216,I123,I245
1000000747A,G214,A104,I124,I139
1000000748B,P111,I251,I141,E104
1000000749C,T001,I244,I329,E207
1000000750A,I313,I136,G213,T202
1000000751B,I134,I117,G106,E101
1000000752C,P106,T203,G213,I212
1000000753A,G213,C104,I141,I214
1000000754B,I134,C104,G102,I214
1000000755C,T001,I112,P111,L101
1000000756A,I322,I117,G106,E101
1000000757B,G213,I116,C103,D213
1000000758C,I134,D211,P106,I238
1000000759A,G213,I120,I134,E103
1000000760B,I320,T204,C209,I137
1000000761C,G214,C105,C209,I248
1000000762A,X999,I244,G102,E207
1000000763B,X999,T003,I141,I121
1000000764C,T001,I116,I331,D213
1000000765A,I130,I136,P111,T202
1000000766B,G102,A104,I134,I139
1000000767C,G104,L004,I143,I246
1000000768A,X999,L004,G105,I246
1000000769B,X999,D211,A101,I238
1000000770C,X999,I251,I329,E104
1000000771A,I141,A104,G213,I139
1000000772B,X999,I244,I143,E207
1000000773C,C103,I116,I123,D213
1000000774A,X999,I120,P111,E103
1000000775B,X999,D216,I123,I245
1000000776C,I141,I112,P111,L101
